X: 60.86457824707031, Y: -57.39158248901367
X: 61.34309768676758, Y: -57.38853073120117
X: 61.82220458984375, Y: -57.38459777832031
X: 62.301551818847656, Y: -57.37602233886719
X: 62.78078842163086, Y: -57.36511993408203
X: 63.25978469848633, Y: -57.35414505004883
X: 63.73832321166992, Y: -57.33933639526367
X: 64.21666717529297, Y: -57.32258224487305
X: 64.69470977783203, Y: -57.3009033203125
X: 65.1728286743164, Y: -57.27688980102539
X: 65.65120697021484, Y: -57.25294876098633
X: 66.1292495727539, Y: -57.223533630371094
X: 66.60702514648438, Y: -57.19117736816406
X: 67.08361053466797, Y: -57.15008544921875
X: 67.55982208251953, Y: -57.10418701171875
X: 68.03633117675781, Y: -57.05809020996094
X: 68.5124282836914, Y: -57.00571060180664
X: 68.98931884765625, Y: -56.94997024536133
X: 69.46540832519531, Y: -56.883426666259766
X: 69.941162109375, Y: -56.81048583984375
X: 70.41734313964844, Y: -56.73709487915039
X: 70.89154815673828, Y: -56.65548324584961
X: 71.36366271972656, Y: -56.56941223144531
X: 71.83435821533203, Y: -56.48353576660156
X: 72.3017807006836, Y: -56.38962173461914
X: 72.76748657226562, Y: -56.29095458984375
X: 73.2284927368164, Y: -56.17748260498047
X: 73.68762969970703, Y: -56.05310821533203
X: 74.14846801757812, Y: -55.927024841308594
X: 74.60572814941406, Y: -55.78779983520508
X: 75.06027221679688, Y: -55.639862060546875
X: 75.51459503173828, Y: -55.49122619628906
X: 75.96537017822266, Y: -55.33416748046875
X: 76.41500091552734, Y: -55.17237091064453
X: 76.86554718017578, Y: -55.01035690307617
X: 77.31612396240234, Y: -54.84565353393555
X: 77.76358032226562, Y: -54.67094421386719
X: 78.2096176147461, Y: -54.49098205566406
X: 78.65599822998047, Y: -54.31068801879883
X: 79.09920501708984, Y: -54.12386703491211
X: 79.5400390625, Y: -53.93389129638672
X: 79.97272491455078, Y: -53.73074722290039
X: 80.40089416503906, Y: -53.51719665527344
X: 80.8301773071289, Y: -53.30160140991211
X: 81.26152801513672, Y: -53.08625411987305
X: 81.68788146972656, Y: -52.86040496826172
X: 82.11083984375, Y: -52.62678909301758
X: 82.5262680053711, Y: -52.380794525146484
X: 82.93754577636719, Y: -52.12746810913086
X: 83.34345245361328, Y: -51.86581802368164
X: 83.74734497070312, Y: -51.600341796875
X: 84.14261627197266, Y: -51.32402801513672
X: 84.53243255615234, Y: -51.041419982910156
X: 84.9215316772461, Y: -50.75872802734375
X: 84.9215316772461, Y: -50.75872802734375
X: 84.9215316772461, Y: -50.75872802734375
X: 85.30448913574219, Y: -50.469696044921875
X: 85.68440246582031, Y: -50.177303314208984
X: 86.0643539428711, Y: -49.88499450683594
X: 86.44487762451172, Y: -49.593441009521484
X: 86.82596588134766, Y: -49.3026008605957
X: 87.20183563232422, Y: -49.00543975830078
X: 87.5748291015625, Y: -48.70372772216797
X: 87.939453125, Y: -48.39198684692383
X: 88.2991714477539, Y: -48.07349395751953
X: 88.64659118652344, Y: -47.743255615234375
X: 88.98511505126953, Y: -47.40585708618164
X: 89.32205200195312, Y: -47.06839370727539
X: 89.65168762207031, Y: -46.72634506225586
X: 89.97737121582031, Y: -46.382450103759766
X: 90.29556274414062, Y: -46.03318786621094
X: 90.61113739013672, Y: -45.68048858642578
X: 90.91839599609375, Y: -45.31939697265625
X: 91.22203826904297, Y: -44.95248794555664
X: 91.52701568603516, Y: -44.58367919921875
X: 91.82771301269531, Y: -44.20988845825195
X: 92.12596130371094, Y: -43.833984375
X: 92.41632843017578, Y: -43.45298767089844
X: 92.7026138305664, Y: -43.06914520263672
X: 92.98899841308594, Y: -42.68516540527344
X: 93.26589965820312, Y: -42.29465103149414
X: 93.537109375, Y: -41.89829635620117
X: 93.79907989501953, Y: -41.494319915771484
X: 94.05646514892578, Y: -41.08623123168945
X: 94.30345153808594, Y: -40.67238998413086
X: 94.54474639892578, Y: -40.25606918334961
X: 94.78561401367188, Y: -39.84044647216797
X: 95.02059173583984, Y: -39.42261505126953
X: 95.25289154052734, Y: -39.00328826904297
X: 95.47628021240234, Y: -38.57931137084961
X: 95.69499969482422, Y: -38.1521110534668
X: 95.90129852294922, Y: -37.71916198730469
X: 96.10005950927734, Y: -37.28269958496094
X: 96.28886413574219, Y: -36.84254455566406
X: 96.4731216430664, Y: -36.40104293823242
X: 96.64773559570312, Y: -35.95639419555664
X: 96.81836700439453, Y: -35.50869369506836
X: 96.989990234375, Y: -35.05909729003906
X: 97.1546630859375, Y: -34.605865478515625
X: 97.31532287597656, Y: -34.15142822265625
X: 97.46781921386719, Y: -33.69520568847656
X: 97.61669921875, Y: -33.237571716308594
X: 97.75642395019531, Y: -32.77695083618164
X: 97.89157104492188, Y: -32.31431198120117
X: 98.01553344726562, Y: -31.84853744506836
X: 98.1335220336914, Y: -31.38006591796875
X: 98.24124908447266, Y: -30.908447265625
X: 98.34415435791016, Y: -30.434738159179688
X: 98.43608093261719, Y: -29.958919525146484
X: 98.52229309082031, Y: -29.482379913330078
X: 98.60842895507812, Y: -29.00629997253418
X: 98.6956787109375, Y: -28.53104019165039
X: 98.77590942382812, Y: -28.055675506591797
X: 98.8519515991211, Y: -27.580881118774414
X: 98.9190902709961, Y: -27.1060733795166
X: 98.98180389404297, Y: -26.630521774291992
X: 99.0323486328125, Y: -26.153526306152344
X: 99.07586669921875, Y: -25.674657821655273
X: 99.11911010742188, Y: -25.194252014160156
X: 99.15652465820312, Y: -24.712692260742188
X: 99.19100189208984, Y: -24.230966567993164
X: 99.21846771240234, Y: -23.749486923217773
X: 99.24264526367188, Y: -23.2681884765625
X: 99.26699829101562, Y: -22.787057876586914
X: 99.2884521484375, Y: -22.30582618713379
X: 99.30856323242188, Y: -21.823993682861328
X: 99.3246078491211, Y: -21.34164810180664
X: 99.33873748779297, Y: -20.859560012817383
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35299682617188, Y: -20.378095626831055
X: 99.35846710205078, Y: -19.896142959594727
X: 99.35874938964844, Y: -19.40719985961914
X: 99.35867309570312, Y: -18.90765380859375
X: 99.3592758178711, Y: -18.403112411499023
X: 99.36017608642578, Y: -17.897123336791992
X: 99.36127471923828, Y: -17.38578987121582
X: 99.36209106445312, Y: -16.87126350402832
X: 99.36331939697266, Y: -16.3494815826416
X: 99.36474609375, Y: -15.819367408752441
X: 99.3661117553711, Y: -15.278128623962402
X: 99.36764526367188, Y: -14.724210739135742
X: 99.36915588378906, Y: -14.159807205200195
X: 99.37075805664062, Y: -13.585158348083496
X: 99.37238311767578, Y: -13.00121021270752
X: 99.37409210205078, Y: -12.407693862915039
X: 99.37583923339844, Y: -11.805246353149414
X: 99.37771606445312, Y: -11.19357681274414
X: 99.379638671875, Y: -10.573187828063965
X: 99.38166809082031, Y: -9.943863868713379
X: 99.3837661743164, Y: -9.305947303771973
X: 99.38599395751953, Y: -8.6592378616333
X: 99.38833618164062, Y: -8.003844261169434
X: 99.3895492553711, Y: -7.33966064453125
X: 99.38871002197266, Y: -6.666772365570068
X: 99.386474609375, Y: -5.985164165496826
X: 99.38317108154297, Y: -5.297082424163818
X: 99.37791442871094, Y: -4.61513614654541
X: 99.36823272705078, Y: -3.948698043823242
X: 99.35503387451172, Y: -3.301581621170044
X: 99.33512115478516, Y: -2.6756062507629395
X: 99.30974578857422, Y: -2.0711135864257812
X: 99.27703094482422, Y: -1.4883478879928589
X: 99.23517608642578, Y: -0.9273632764816284
X: 99.18875885009766, Y: -0.38715001940727234
X: 99.1393814086914, Y: 0.13285590708255768
X: 99.08904266357422, Y: 0.6345060467720032
X: 99.03172302246094, Y: 1.1274715662002563
X: 98.97148895263672, Y: 1.6098408699035645
X: 98.90116882324219, Y: 2.0766515731811523
X: 98.82598114013672, Y: 2.527472734451294
X: 98.73854064941406, Y: 2.9592385292053223
X: 98.64469146728516, Y: 3.374645948410034
X: 98.5389404296875, Y: 3.7730300426483154
X: 98.42728424072266, Y: 4.160244464874268
X: 98.31689453125, Y: 4.541927814483643
X: 98.19071960449219, Y: 4.911312580108643
X: 98.047607421875, Y: 5.269315242767334
X: 97.90190887451172, Y: 5.6253838539123535
X: 97.74101257324219, Y: 5.970842361450195
X: 97.56829833984375, Y: 6.3084564208984375
X: 97.39398193359375, Y: 6.645418167114258
X: 97.20362091064453, Y: 6.968664169311523
X: 96.99491882324219, Y: 7.2768683433532715
X: 96.7674560546875, Y: 7.567781925201416
X: 96.52462768554688, Y: 7.849354267120361
X: 96.27484893798828, Y: 8.132966995239258
X: 96.00887298583984, Y: 8.405401229858398
X: 95.72130584716797, Y: 8.679134368896484
X: 95.403076171875, Y: 8.95125675201416
X: 95.05843353271484, Y: 9.227643013000488
X: 94.69731140136719, Y: 9.514338493347168
X: 94.32737731933594, Y: 9.810436248779297
X: 93.94483184814453, Y: 10.09928035736084
X: 93.55461883544922, Y: 10.382822036743164
X: 93.15447998046875, Y: 10.65060043334961
X: 92.74833679199219, Y: 10.90754222869873
X: 92.33365631103516, Y: 11.143513679504395
X: 91.91226959228516, Y: 11.36456298828125
X: 91.48287963867188, Y: 11.563140869140625
X: 91.04698944091797, Y: 11.747262001037598
X: 90.60545349121094, Y: 11.919239044189453
X: 90.15692138671875, Y: 12.068788528442383
X: 89.70252990722656, Y: 12.206896781921387
X: 89.24234008789062, Y: 12.329815864562988
X: 88.7774429321289, Y: 12.445579528808594
X: 88.30815124511719, Y: 12.546680450439453
X: 87.83580780029297, Y: 12.640230178833008
X: 87.36217498779297, Y: 12.733858108520508
X: 86.8875503540039, Y: 12.823850631713867
X: 86.41197204589844, Y: 12.896368980407715
X: 85.93585968017578, Y: 12.957450866699219
X: 85.45975494384766, Y: 13.017282485961914
X: 84.98336029052734, Y: 13.06895637512207
X: 84.50636291503906, Y: 13.116677284240723
X: 84.02860260009766, Y: 13.15703010559082
