epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,390.265,1.03943,0.68609,0.80092,0.94285,1,0.99094,0.59146,1.03284,0.57057,0.8057,0.000311379,0.000311379,0.000311379
81,395.107,1.00479,0.68438,0.81569,0.94081,1,0.99094,0.62533,1.00273,0.54024,0.80965,0.000297232,0.000297232,0.000297232
82,400.061,0.96335,0.65315,0.8091,0.92293,1,0.98875,0.60675,1.10269,0.62846,0.8136,0.000283085,0.000283085,0.000283085
83,405,0.96491,0.63134,0.80203,0.93495,0.98951,0.98875,0.58431,1.06451,0.61615,0.80923,0.000268938,0.000268938,0.000268938
84,409.935,1.02837,0.69146,0.80113,0.94201,0.97249,0.99094,0.62632,0.9806,0.56916,0.81152,0.000254791,0.000254791,0.000254791
85,414.821,0.95843,0.62736,0.81627,0.93557,1,0.99094,0.58739,0.99861,0.54872,0.81061,0.000240644,0.000240644,0.000240644
86,419.825,0.99139,0.63633,0.79464,0.93019,1,0.99094,0.58029,1.1171,0.55962,0.8149,0.000226497,0.000226497,0.000226497
87,424.782,0.93653,0.65905,0.80482,0.92896,1,0.99094,0.56321,1.10692,0.58475,0.81277,0.000212349,0.000212349,0.000212349
88,429.753,0.93563,0.62319,0.81494,0.93292,1,0.99094,0.61645,0.96476,0.5401,0.80789,0.000198202,0.000198202,0.000198202
89,434.589,0.95216,0.64027,0.79267,0.93659,1,0.99094,0.66851,0.96222,0.54637,0.8067,0.000184055,0.000184055,0.000184055
90,439.54,0.92487,0.62151,0.8056,0.93782,1,0.99094,0.67877,0.96709,0.52023,0.80644,0.000169908,0.000169908,0.000169908
91,446.467,0.89658,0.62522,0.76031,0.93193,1,0.99094,0.6135,0.98146,0.52544,0.80889,0.000155761,0.000155761,0.000155761
92,451.431,0.91373,0.63171,0.76872,0.95515,0.94145,0.99094,0.62418,1.00497,0.52644,0.8088,0.000141614,0.000141614,0.000141614
93,456.187,0.90251,0.65691,0.83503,0.95236,0.94218,0.99094,0.59254,0.99577,0.54718,0.80845,0.000127467,0.000127467,0.000127467
94,460.999,0.92293,0.61062,0.80835,0.9338,1,0.99094,0.59441,1.02932,0.55933,0.81176,0.00011332,0.00011332,0.00011332
95,465.828,0.99377,0.64564,0.79788,0.94998,0.94228,0.99094,0.59861,1.03844,0.5425,0.81437,9.91726e-05,9.91726e-05,9.91726e-05
96,470.707,0.92871,0.61516,0.80426,0.9497,0.94094,0.99094,0.62306,1.03434,0.55345,0.80985,8.50255e-05,8.50255e-05,8.50255e-05
97,475.54,0.91782,0.60321,0.81053,0.94733,0.93972,0.99094,0.59001,1.00783,0.54966,0.80797,7.08784e-05,7.08784e-05,7.08784e-05
98,480.343,0.92718,0.62388,0.80699,0.94717,0.9395,0.99094,0.66018,1.00417,0.54393,0.8077,5.67313e-05,5.67313e-05,5.67313e-05
99,485.156,0.99564,0.60697,0.84733,0.94808,0.94056,0.99094,0.64268,0.97622,0.54152,0.80829,4.25842e-05,4.25842e-05,4.25842e-05
100,489.982,0.95087,0.64817,0.82479,0.94745,0.94003,0.99094,0.62018,0.98165,0.53833,0.80812,2.84371e-05,2.84371e-05,2.84371e-05
