X: -41.13802146911621, Y: -46.23264948527018
X: -41.114747047424316, Y: -46.33438046773275
X: -41.09147262573242, Y: -46.43611145019531
X: -41.09147262573242, Y: -46.43611145019531
X: -41.06305355495877, Y: -46.53395334879557
X: -41.03463448418511, Y: -46.631795247395836
X: -41.00621541341146, Y: -46.729637145996094
X: -40.9777963426378, Y: -46.82747904459635
X: -40.94937727186415, Y: -46.92532094319662
X: -40.92095820109049, Y: -47.023162841796875
X: -40.89253913031684, Y: -47.12100474039713
X: -40.86412005954318, Y: -47.2188466389974
X: -40.83570098876953, Y: -47.316688537597656
X: -40.83570098876953, Y: -47.316688537597656
X: -40.79908806937082, Y: -47.416067123413086
X: -40.7624751499721, Y: -47.515445709228516
X: -40.725862230573384, Y: -47.614824295043945
X: -40.68924931117466, Y: -47.714202880859375
X: -40.65263639177595, Y: -47.813581466674805
X: -40.61602347237723, Y: -47.912960052490234
X: -40.579410552978516, Y: -48.012338638305664
X: -40.5427976335798, Y: -48.111717224121094
X: -40.50618471418108, Y: -48.21109580993652
X: -40.46957179478237, Y: -48.31047439575195
X: -40.43295887538365, Y: -48.40985298156738
X: -40.396345955984934, Y: -48.50923156738281
X: -40.35973303658621, Y: -48.60861015319824
X: -40.3231201171875, Y: -48.70798873901367
X: -40.3231201171875, Y: -48.70798873901367
X: -40.28383674621582, Y: -48.8008415222168
X: -40.24455337524414, Y: -48.89369430541992
X: -40.205270004272464, Y: -48.98654708862305
X: -40.16598663330078, Y: -49.07939987182617
X: -40.1267032623291, Y: -49.1722526550293
X: -40.08741989135742, Y: -49.265105438232425
X: -40.04813652038574, Y: -49.357958221435545
X: -40.008853149414065, Y: -49.45081100463867
X: -39.969569778442384, Y: -49.543663787841794
X: -39.9302864074707, Y: -49.63651657104492
X: -39.9302864074707, Y: -49.63651657104492
X: -39.88508949279785, Y: -49.72585029602051
X: -39.839892578125, Y: -49.81518402099609
X: -39.794695663452146, Y: -49.90451774597168
X: -39.749498748779295, Y: -49.99385147094726
X: -39.704301834106445, Y: -50.08318519592285
X: -39.659104919433595, Y: -50.17251892089844
X: -39.613908004760745, Y: -50.26185264587402
X: -39.56871109008789, Y: -50.35118637084961
X: -39.52351417541504, Y: -50.44052009582519
X: -39.47831726074219, Y: -50.52985382080078
X: -39.47831726074219, Y: -50.52985382080078
X: -39.42344720023019, Y: -50.62157930646624
X: -39.36857713971819, Y: -50.713304792131694
X: -39.313707079206196, Y: -50.80503027779715
X: -39.258837018694194, Y: -50.896755763462615
X: -39.2039669581822, Y: -50.98848124912807
X: -39.1490968976702, Y: -51.08020673479353
X: -39.0942268371582, Y: -51.171932220458984
X: -39.03935677664621, Y: -51.26365770612444
X: -38.98448671613421, Y: -51.3553831917899
X: -38.92961665562221, Y: -51.447108677455354
X: -38.87474659511021, Y: -51.53883416312082
X: -38.819876534598215, Y: -51.630559648786274
X: -38.76500647408621, Y: -51.72228513445173
X: -38.71013641357422, Y: -51.81401062011719
X: -38.71013641357422, Y: -51.81401062011719
X: -38.65293655395508, Y: -51.8963565826416
X: -38.59573669433594, Y: -51.978702545166016
X: -38.538536834716794, Y: -52.06104850769043
X: -38.481336975097655, Y: -52.143394470214844
X: -38.424137115478516, Y: -52.22574043273926
X: -38.366937255859376, Y: -52.30808639526367
X: -38.30973739624024, Y: -52.390432357788086
X: -38.25253753662109, Y: -52.4727783203125
X: -38.19533767700195, Y: -52.555124282836914
X: -38.13813781738281, Y: -52.63747024536133
X: -38.13813781738281, Y: -52.63747024536133
X: -38.07376480102539, Y: -52.71404190063477
X: -38.00939178466797, Y: -52.7906135559082
X: -37.94501876831055, Y: -52.86718521118164
X: -37.880645751953125, Y: -52.943756866455075
X: -37.8162727355957, Y: -53.020328521728516
X: -37.75189971923828, Y: -53.096900177001956
X: -37.68752670288086, Y: -53.17347183227539
X: -37.62315368652344, Y: -53.25004348754883
X: -37.558780670166016, Y: -53.32661514282226
X: -37.494407653808594, Y: -53.4031867980957
X: -37.494407653808594, Y: -53.4031867980957
X: -37.420428957257954, Y: -53.47981425694057
X: -37.34645026070731, Y: -53.55644171578543
X: -37.27247156415667, Y: -53.6330691746303
X: -37.19849286760603, Y: -53.70969663347517
X: -37.12451417105539, Y: -53.78632409232004
X: -37.05053547450474, Y: -53.8629515511649
X: -36.9765567779541, Y: -53.939579010009766
X: -36.90257808140346, Y: -54.016206468854634
X: -36.828599384852815, Y: -54.092833927699495
X: -36.754620688302175, Y: -54.16946138654436
X: -36.680641991751536, Y: -54.24608884538923
X: -36.606663295200896, Y: -54.3227163042341
X: -36.53268459865025, Y: -54.39934376307896
X: -36.45870590209961, Y: -54.47597122192383
X: -36.45870590209961, Y: -54.47597122192383
X: -36.36879539489746, Y: -54.55967140197754
X: -36.27888488769531, Y: -54.64337158203125
X: -36.188974380493164, Y: -54.72707176208496
X: -36.099063873291016, Y: -54.81077194213867
X: -36.099063873291016, Y: -54.81077194213867
X: -36.015320096697124, Y: -54.873025349208284
X: -35.93157632010324, Y: -54.9352787562779
X: -35.84783254350935, Y: -54.997532163347515
X: -35.76408876691546, Y: -55.059785570417134
X: -35.680344990321565, Y: -55.122038977486746
X: -35.59660121372768, Y: -55.184292384556365
X: -35.51285743713379, Y: -55.24654579162598
X: -35.4291136605399, Y: -55.30879919869559
X: -35.34536988394601, Y: -55.37105260576521
X: -35.26162610735212, Y: -55.43330601283482
X: -35.17788233075823, Y: -55.49555941990444
